GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,93,2,9,1,19,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,27,233,3,10,9,63,3,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,2,59,1,3,0,21,1,14,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,15,40,2,2,5,12,2,4,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,72,204,2,2,20,53,3,5,1,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,18,96,2,2,7,25,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,22,74,3,3,10,27,3,6,0,6
